"phrase";"replacements";"message";"url
"big";"immense";"Don't use this word";
"sad";"troubled";"Don't use this word";
"interesting";"intriguing";"Don't use this word";
"important";"paramount";"Don't use this word";
"at the end of the day";"";"Don't use this word";
"in conclusion";"";"Don't use this word";
"in my opinion";"";"Don't use this word";
"in spite of ";"despite";"Don't use this word";
"it";"";"Do you really want to use this word?";
"potentially";"";"Don't use this word";
"perhaps";"";"Don't use this word";
"synergy";"Collaboration";"Don't use this word";
"think outside the box";"explore new ideas";"Don't use this word";
"low-hanging fruit";"easy wins";"Don't use this word";
"touch base";"connect";"Don't use this word";
"circle back";"revisit";"Don't use this word";
"ping";"reach out to";"Don't use this word";
"move the needle";"deliver results";"Don't use this word";
"leverage";"take advantage of";"Don't use this word";
"bandwidth";"capacity";"Don't use this word";
"drill down";"deep dive";"Don't use this word";
"best practice";"industry standard";"Don't use this word";
"synergize";"collaborate";"Don't use this word";
"paradigm shift";"fundamental transformation";"Don't use this word";
"reach out";"get in touch";"Don't use this word";
"core competency";"primary strength";"Don't use this word";
"on the same page";"aligned";"Don't use this word";
"take it offline";"address separately";"Don't use this word";
"value-added";"beneficial";"Don't use this word";
"irregardless";"regardless";"This is not a word";
"impactful";"influential";"Emotion Word";
"literally";"actually";"Filler word";
"utilization";"use";"Redundant word";
"firstly";"first";"Redundant word";
"stuff";"items";"Be more specific";
"got";"obtained";"Alternative Word required";
"things";"items";"Be more specific";
"get";"acquire";"Alternative Word required";
"about";"approximately,around";"Weasel Word Detected";
