phrase;replacements;message;url
"deprival";"deprivation";"At least you should use the proper form.";
"derogative";"derogatory";"At least you should use the proper form.";
"descend down";"descend";"At least you should use the proper form.";
"descendable";"descendible";"This is the correct spelling";
"desirable benefits";"benefits";"At least you should use the proper form.";
"desperate";"strained";"Emotional Word Detected";
"despicable";"contemptible";"Emotional Word Detected";
"destroyable";"destructible";"At least you should use the proper form.";
"destructable";"destructible";"This is the correct spelling";
"detectible";"detectable";"This is the correct spelling";
"detonatable";"detonable";"This is the correct spelling";
"detox center";"treatment center";"Use this form, it's better. Trust me.";
"detox";"treatment";"Only use terms describing mental illness when referring to a professionally diagnosed medical condition.";
"detoxicate";"detoxify";"At least you should use the proper form.";
"detractory";"detractive";"At least you should use the proper form.";
"deviancy";"deviance";"At least you should use the proper form.";
"deviationist";"deviant";"At least you should use the proper form.";
"devil is in the details";"";"Don't use this word";
"devil";"";"Are you kidding! Why would you type this!";
"devoid";"";"Don't use this word";
"diagnosible";"diagnosable";"This is the correct spelling";
"dick brain";"";"Are you kidding! Why would you type this!";
"dick fart";"";"Are you kidding! Why would you type this!";
"dick for brains";"";"Are you kidding! Why would you type this!";
"dick head";"";"Are you kidding! Why would you type this!";
"dick lick";"";"Are you kidding! Why would you type this!";
"dick licker";"";"Are you kidding! Why would you type this!";
"dick likcer";"";"Are you kidding! Why would you type this!";
"dick wad";"";"Are you kidding! Why would you type this!";
"dick weed";"";"Are you kidding! Why would you type this!";
"dickbrain";"";"Are you kidding! Why would you type this!";
"dickforbrains";"";"Are you kidding! Why would you type this!";
"dickhead";"";"Are you kidding! Why would you type this!";
"dickless";"";"Are you kidding! Why would you type this!";
"dicklick";"";"Are you kidding! Why would you type this!";
"dicklicker";"";"Are you kidding! Why would you type this!";
"dickman";"";"Are you kidding! Why would you type this!";
"dickwad";"";"Are you kidding! Why would you type this!";
"dickweed";"";"Are you kidding! Why would you type this!";
"did not have much confidence in";"distrusted";"At least you should use the proper form.";
"did not pay (any )?attention to";"ignored";"At least you should use the proper form.";
"did not remember";"forgot";"At least you should use the proper form.";
"diffability";"has a disability","person with a disability","people with disabilities";"Use this form, it's better. Trust me.";
"differentiatable";"differentiable";"This is the correct spelling";
"differently abled";"has a disability","person with a disability","people with disabilities";"Use this form, it's better. Trust me.";
"difficult dilemma";"dilemma";"At least you should use the proper form.";
"diffusable";"diffusible";"This is the correct spelling";
"digamy";"deuterogamy";"At least you should use the proper form.";
"digestable";"digestible";"This is the correct spelling";
"digestor";"digester";"This is the correct spelling";
"digitalize";"digitize";"At least you should use the proper form.";
"dike";"";"Are you kidding! Why would you type this!";
"dildo";"";"Are you kidding! Why would you type this!";
"dime a dozen";"";"Don't use this word";
"diminishment";"diminution";"At least you should use the proper form.";
"dip stick";"";"Are you kidding! Why would you type this!";
"diplomatist";"diplomat";"At least you should use the proper form.";
"dipstick";"";"Are you kidding! Why would you type this!";
"direct confrontation";"confrontation";"At least you should use the proper form.";
"directly antithetical";"antithetical";"At least you should use the proper form.";
"dirty ho";"";"Are you kidding! Why would you type this!";
"disable";"deactivate";"Unconcious Bias Detected";
"disabled restroom";"accessible restroom";"Unconcious Bias Detected";
"disabled";"deactivated","turned off","has a disability","person with a disability","people with disabilities";"Assumes/implies that a person with a disability is deficient or inferior to others. When possible, specify the functional ability or its restriction.";
"disabling";"deactivating";"Unconcious Bias Detected";
"disadvantages";"limitations";"Emotional Word Detected";
"disappear from sight";"disappear";"At least you should use the proper form.";
"disassociate";"dissociate";"At least you should use the proper form.";
"disastrous";"catastrophic";"Emotional Word Detected";
"discernable";"discernible";"This is the correct spelling";
"disciplinatory";"disciplinary";"At least you should use the proper form.";
"discomforture";"discomfort' or 'discomfiture";"At least you should use the proper form.";
"discriminant";"discriminating";"At least you should use the proper form.";
"discussible";"discussable";"This is the correct spelling";
"disdainful";"disrespectful";"Emotional Word Detected";
"disenthrone";"dethrone";"At least you should use the proper form.";
"disgusted";"repelled";"Emotional Word Detected";
"disgusting";"person with symptoms of mental illness";"Describe the behavior or illness without derogatory words.";
"dishonest";"deceitful";"Emotional Word Detected";
"disillusioned";"disappointed";"Emotional Word Detected";
"disincentivize";"";"No. Just no. Don't say this";
"disintegratory";"disintegrative";"At least you should use the proper form.";
"dismissable";"dismissible";"This is the correct spelling";
"dismission";"dismissal";"At least you should use the proper form.";
"disorientate";"disorient";"At least you should use the proper form.";
"disorientated";"bewildered";"mAt least you should use the proper form.";
"disoriented";"bewildered";"Emotional Word Detected";
"dispair";"desperation";"Emotional Word Detected";
"dispensor";"dispenser";"This is the correct spelling";
"dispersement";"disbursement' or 'dispersal";"At least you should use the proper form.";
"disproportionate";"unbalanced";"Weasel Word Detected";
"disquieten";"disquiet";"At least you should use the proper form.";
"distracted";"unfocused";"Emotional Word Detected";
"distraite";"distrait";"At least you should use the proper form.";
"distraught";"strained";"Emotional Word Detected";
"distress";"stress";"Emotional Word Detected";
"distressed";"troubled";"Emotional Word Detected";
"distributer";"distributor";"This is the correct spelling";
"dive down";"dive";"At least you should use the proper form.";
"dived";"";"Don't use this word";
"divergency";"divergence";"At least you should use the proper form.";
"divers";"";"Don't use this word";
"diverse employee";"(be specific)";"Unconcious Bias Detected";
"diverse employees";"(be specific)";"Unconcious Bias Detected";
"diversity";"(be specific)";"Unconcious Bias Detected";
"dividable";"divisible";"At least you should use the proper form.";
"divide and conquer";"";"Don't use this word";
"divisable";"divisible";"This is the correct spelling";
"dix";"";"Are you kidding! Why would you type this!";
"dixie dike";"";"Are you kidding! Why would you type this!";
"dixie dyke";"";"Are you kidding! Why would you type this!";
"dixiedike";"";"Are you kidding! Why would you type this!";
"dixiedyke";"";"Are you kidding! Why would you type this!";
"do me";"";"Are you kidding! Why would you type this!";
"doctrinary";"doctrinaire";"At least you should use the proper form.";
"documental";"documentary";"At least you should use the proper form.";
"dog and pony show";"";"Don't use this word";
"dog days";"";"Don't use this word";
"dog eat dog";"";"Don't use this word";
"dog tired";"";"Don't use this word";
"doggie style";"";"Are you kidding! Why would you type this!";
"doggiestyle";"";"Are you kidding! Why would you type this!";
"doggy stlye";"";"Are you kidding! Why would you type this!";
"doggystyle";"";"Are you kidding! Why would you type this!";
"dogs";"pack";"A group of dogs  is called a  pack";
"dome";"";"Are you kidding! Why would you type this!";
"domesticize";"domesticate";"At least you should use the proper form.";
"don't burn your bridges";"";"Don't use this word";
"don't count your chickens";"";"Don't use this word";
"don't look a gift horse in the mouth";"";"Don't use this word";
"don't rock the boat";"";"Don't use this word";
"don't step on anyone's toes";"";"Don't use this word";
"don't take any wooden nickels";"";"Don't use this word";
"done";"";"Don't use this word";
"dong";"";"Are you kidding! Why would you type this!";
"doomed";"destined";"Emotional Word Detected";
"doorman";"concierge";"Using gender neutral language means users will help to break up gender stereotypes";
"doormen";"concierges";"Using gender neutral language means users will help to break up gender stereotypes";
"doorwoman";"concierge";"Using gender neutral language means users will help to break up gender stereotypes";
"doorwomen";"concierges";"Using gender neutral language means users will help to break up gender stereotypes";
"dope";"";"Are you kidding! Why would you type this!";
"doppelganger";"doppelgänger";"It's German";
"double d";"";"Are you kidding! Why would you type this!";
"doubled";"";"Are you kidding! Why would you type this!";
"doubt";"skepticism";"Emotional Word Detected";
"doubtful";"skeptical";"Emotional Word Detected";
"doubtlessly";"doubtless' or 'undoubtedly";"At least you should use the proper form.";
"down and out";"";"Don't use this word";
"down at the heels";"";"Don't use this word";
"down in the dumps";"";"Don't use this word";
"down the hatch";"";"Don't use this word";
"down to earth";"";"Don't use this word";
"downs syndrome";"Down Syndrome";"At least you should use the proper form.";
"downward sloping line";"downward-sloping line";"At least you should use the proper form.";
"draftman";"drafter";"Use this form, it's better. Trust me.";
"draftperson";"drafter";"This is the correct spelling";
"draftwoman";"drafter";"Use this form, it's better. Trust me.";
"drag queen";"";"Are you kidding! Why would you type this!";
"dragqueen";"";"Are you kidding! Why would you type this!";
"dragqween";"";"Are you kidding! Why would you type this!";
"dramaticly";"dramatically";"This is the correct spelling";
"drank the cool aid";"blind acceptance";"Unconcious Bias Detected";
"drank the cool-aid";"blind acceptance";"Unconcious Bias Detected";
"drank the coolaid";"blind acceptance";"Unconcious Bias Detected";
"drank the kool aid";"blind acceptance";"Unconcious Bias Detected";
"drank the kool-aid";"blind acceptance";"Unconcious Bias Detected";
"drank the koolaid";"blind acceptance";"Unconcious Bias Detected";
"draw the line";"";"Don't use this word";
"drawn";"";"Don't use this word";
"dre";"";"Are you kidding! Why would you type this!";
"dread";"apprehension";"Emotional Word Detected";
"dreamt";"";"Don't use this word";
"dressed to kill";"";"Don't use this word";
"dressed to the nines";"";"Don't use this word";
"drill down";"deep dive";"Don't use this word";
"drill-down";"";"Don't use this word";
"drink the cool aid";"blind acceptance";"Unconcious Bias Detected";
"drink the cool-aid";"blind acceptance";"Unconcious Bias Detected";
"drink the coolaid";"blind acceptance";"Unconcious Bias Detected";
"drink the kool aid";"blind acceptance";"Unconcious Bias Detected";
"drink the kool-aid";"blind acceptance";"Unconcious Bias Detected";
"drink the koolaid";"blind acceptance";"Unconcious Bias Detected";
"drip dick";"";"Are you kidding! Why would you type this!";
"dripdick";"";"Are you kidding! Why would you type this!";
"driven";"";"Don't use this word";
"drives me up the wall";"";"Don't use this word";
"drop down";"drop";"At least you should use the proper form.";
"drunk";"";"Are you kidding! Why would you type this!";
"drunken";"";"Are you kidding! Why would you type this!";
"dubious distinction";"";"Don't use this word";
"dude";"person","friend","pal","folk","individual";"Using gender neutral language means users will help to break up gender stereotypes";
"dudely";"humanly","mature";"Using gender neutral language means users will help to break up gender stereotypes";
"dudes";"people","persons","folks";"Using gender neutral language means users will help to break up gender stereotypes";
"due to the fact that";"";"Filler Word Detected";
"dug";"";"Don't use this word";
"dull as dishwater";"";"Don't use this word";
"duly authorized";"";"Don't use this word";
"dumb ass";"";"Are you kidding! Why would you type this!";
"dumb bitch";"";"Are you kidding! Why would you type this!";
"dumb fuck";"";"Are you kidding! Why would you type this!";
"dumb";"nonspeaking","foolish","ludicrous","speechless","silent";"Don't use this word";
"dumbass";"";"Are you kidding! Why would you type this!";
"dumbbitch";"";"Are you kidding! Why would you type this!";
"dumbfuck";"";"Are you kidding! Why would you type this!";
"dummy";"test double","placeholder","fake","stub";"Binge might be insensitive towards folks with eating or drinking disorders";
"dummyobject";"test double","placeholder","fake","stub";"Binge might be insensitive towards folks with eating or drinking disorders";
"dummyvalue";"test double","placeholder","fake","stub";"Binge might be insensitive towards folks with eating or drinking disorders";
"dummyvariable";"test double","placeholder","fake","stub";"Binge might be insensitive towards folks with eating or drinking disorders";
"duplicate copy";"copy";"At least you should use the proper form.";
"duplicatory";"duplicative";"At least you should use the proper form.";
"during the course of";"during";"At least you should use the proper form.";
"durst";"";"Don't use this word";
"duteous";"dutiful";"At least you should use the proper form.";
"dwarf";"person of short stature","person with dwarfism","little person","little people","LP","person of short stature";"Use this form, it's better. Trust me.";
"dwindle down";"dwindle";"At least you should use the proper form.";
"dwindled down";"dwindled";"At least you should use the proper form.";
"dyed in the wool";"";"Don't use this word";
"dyke";"gay";"Avoid using slang shorthand";
"dynamic";"active";"Emotional Word Detected";
"dyslexic";"person with dyslexia";"At least you should use the proper form.";
"e.g.";"for example";"Latin Word Detected";
"each and every";"every";"At least you should use the proper form.";
"eagle eye";"";"Don't use this word";
"eagle-like";"aquiline";"There is a word for that";
"eagles";"convocation";"A group of eagles  is called a  convocation";
"ear to the ground";"";"Don't use this word";
"earlier in time";"earlier";"At least you should use the proper form.";
"early bird catches the worm";"";"Don't use this word";
"earthworm-like";"lumbricine";"There is a word for that";
"easier said than done";"";"Don't use this word";
"easier";"more straightforward";"Weasel Word Detected";
"easily";"";"It’s probably not that easy. Even if it is, you probably don’t need to specifically say it.";
"easy as pie";"";"Don't use this word";
"easy slut";"";"Are you kidding! Why would you type this!";
"easy";"straightforward","";"It’s probably not that easy. Even if it is, you probably don’t need to specifically say it.";
"easyslut";"";"Are you kidding! Why would you type this!";
"eat me";"";"Are you kidding! Why would you type this!";
"eat pussy";"";"Are you kidding! Why would you type this!";
"eat your heart out";"";"Don't use this word";
"eat your words";"";"Don't use this word";
"eatballs";"";"Are you kidding! Why would you type this!";
"eaten";"";"Don't use this word";
"eatme";"";"Are you kidding! Why would you type this!";
"eatpussy";"";"Are you kidding! Why would you type this!";
"ebullient";"ebulliently";"At least you should use the proper form.";
"ecstatic";"ecstatically";"At least you should use the proper form.";
"edable";"edible";"This is the correct spelling";
"educable";"educible";"This is the correct spelling";
"educationalist";"educationist";"At least you should use the proper form.";
"educatory";"educative";"At least you should use the proper form.";
"effective";"productive";"Emotional Word Detected";
"effete";"";"Are you kidding! Why would you type this!";
"efficient";"streamlined";"Emotional Word Detected";
"eg";"for example";"Latin Word Detected";
"eight part harmony";"eight-part harmony";"At least you should use the proper form.";
"ejaculate";"";"Are you kidding! Why would you type this!";
"elated";"ecstatic";"Emotional Word Detected";
"elation";"euphoria";"Emotional Word Detected";
"elephant in the room";"";"Don't use this word";
"eleventh hour";"";"Don't use this word";
"eligable";"eligible";"This is the correct spelling";
"eliminate altogether";"remove";"Use this form, it's better. Trust me.";
"eliminate";"remove";"Emotional Word Detected";
"eloquent";"eloquently";"At least you should use the proper form.";
"embarrassed";"self-conscious";"Emotional Word Detected";
"embarrassing";"uneasy";"Emotional Word Detected";
"embarrassment";"awkwardness";"Emotional Word Detected";
"embrue";"imbrue";"This is the correct spelling";
"emergency situation";"emergency";"Use this form, it's better. Trust me.";
"emigre";"émigré";"It's French";
"emotionly";"emotionally";"This is the correct spelling";
"empale";"impale";"This is the correct spelling";
"emperor";"ruler";"Using gender neutral language means users will help to break up gender stereotypes";
"emphasise";"emphasize";"Use the correct spelling";
"empoverish";"impoverish";"This is the correct spelling";
"empowered";"strengthened";"Emotional Word Detected";
"empress";"ruler";"Using gender neutral language means users will help to break up gender stereotypes";
"empresses";"rulers";"Using gender neutral language means users will help to break up gender stereotypes";
"empty hole";"empty";"At least you should use the proper form.";
"empty out";"empty";"At least you should use the proper form.";
"emus";"mob";"A group of emus  is called a  mob";
"enable";"activate";"Unconcious Bias Detected";
"enabled";"activated";"Unconcious Bias Detected";
"enabling";"activating";"Unconcious Bias Detected";
"enclosed herein";"enclosed";"At least you should use the proper form.";
"enclosed herewith";"enclosed";"Don't use this word";
"enclosed please find";"";"Don't use this word";
"endorsible";"endorsable";"This is the correct spelling";
"endorsor";"endorser";"This is the correct spelling";
"enflame";"inflame";"This is the correct spelling";
"enforceible";"enforceable";"This is the correct spelling";
"english master";"english coordinator","senior teacher of english";"Use this form, it's better. Trust me.";
"englishmen";"the english";"Use this form, it's better. Trust me.";
"engrain";"ingrain";"This is the correct spelling";
"enigmatas";"enigmas";"At least you should use the proper form.";
"enlargen";"enlarge";"At least you should use the proper form.";
"enough";"sufficient";"Weasel Word Detected";
"enplaned";"";"Don't use this word";
"enplanement";"";"Don't use this word";
"enplaning";"";"Don't use this word";
"enraged";"incensed";"Emotional Word Detected";
"enswathe";"swathe";"At least you should use the proper form.";
"enter in";"enter";"Use this form, it's better. Trust me.";
"enter into";"enter";"Use this form, it's better. Trust me.";
"enthusiastic";"eager";"Emotional Word Detected";
"entire";"";"Don't use this word";
"entirely eliminate";"eliminate";"At least you should use the proper form.";
"enure";"inure";"This is the correct spelling";
"epical";"epic";"At least you should use the proper form.";
"epidemic of suicides";"rise in suicides";"Attempted suicide should not be depicted as a failure";
"epileptic";"person with epilepsy";"When possible, ask the person what they prefer.";
"equal to one another";"equal";"At least you should use the proper form.";
"equally as";"as";"At least you should use the proper form.";
"eradicatable";"eradicable";"This is the correct spelling";
"eradicate completely";"eradicate";"At least you should use the proper form.";
"erasor";"eraser";"This is the correct spelling";
"erection";"";"Are you kidding! Why would you type this!";
"ergo";"therefore";"Latin Word Detected";
"erodable";"erodible";"This is the correct spelling";
"erotism";"eroticism";"At least you should use the proper form.";
"eskimo";"Inuit";"At least you should use the proper form.";
"eskimos";"Inuits";"At least you should use the proper form.";
"established fact";"fact";"At least you should use the proper form.";
"estimated at about";"estimated at";"Use this form, it's better. Trust me.";
"estimated at approximately";"estimated at";"Use this form, it's better. Trust me.";
"estimated at around";"estimated at";"Use this form, it's better. Trust me.";
"et. al";"";"No. Just no. Don't say this";
"et. al.";"";"No. Just no. Don't say this";
"etc";"and others";"Latin Word Detected";
"ethician";"ethicist";"At least you should use the proper form.";
"euphoric";"ecstatic","euphorically";"At least you should use the proper form.";
"evacuatable";"evacuable";"This is the correct spelling";
"evadible";"evadable";"This is the correct spelling";
"evaluatable";"evaluable";"This is the correct spelling";
"even numbered";"even-numbered";"At least you should use the proper form.";
"even the playing field";"";"Don't use this word";
"even";".";"Multiple Idea Word Detected";
"ever";"perpetually";"Weasel Word Detected";
"every dog has its day";"";"Don't use this word";
"every fiber of my being";"";"Don't use this word";
"everyone knows";"";"If it’s self-evident then maybe you don’t need to describe it. If it isn’t, don’t say it.";
"everything but the kitchen sink";"";"Don't use this word";
"evl";"";"Are you kidding! Why would you type this!";
"evolve over time";"evolve";"At least you should use the proper form.";
"ex officiis";"ex officio";"At least you should use the proper form.";
"ex postfacto";"";"Don't use this word";
"exact estimate";"";"No. Just no. Don't say this";
"exact opposite";"opposite";"Use this form, it's better. Trust me.";
"exact opposites";"opposites";"Use this form, it's better. Trust me.";
"exact replica";"replica";"At least you should use the proper form.";
"exact same";"same";"Use this form, it's better. Trust me.";
"exasperated";"annoyed";"Emotional Word Detected";
"excellence";"distinction";"Emotional Word Detected";
"excellent";"exceptional";"Emotional Word Detected";
"excisible";"excisable";"This is the correct spelling";
"excited";"eager";"Emotional Word Detected";
"excitement";"enthusiasm";"Emotional Word Detected";
"excludible";"excludable";"This is the correct spelling";
"excrement";"";"Are you kidding! Why would you type this!";
"exculpative";"exculpatory";"At least you should use the proper form.";
"execute";"run";"Unconcious Bias Detected";
"executed";"ran";"Unconcious Bias Detected";
"executing";"running";"Unconcious Bias Detected";
"executive secretary";"";"No. Just no. Don't say this";
"executrix";"executor";"This is the correct spelling";
"exhaustable";"exhaustible";"This is the correct spelling";
"exhilarated";"content";"Emotional Word Detected";
"exhilaration";"eager";"Emotional Word Detected";
"exigeant";"exigent";"At least you should use the proper form.";
"exigence";"exigency";"At least you should use the proper form.";
"exited from";"exited";"At least you should use the proper form.";
"exotism";"exoticism";"At least you should use the proper form.";
"expandible";"expandable";"This is the correct spelling";
"expedience";"expediency";"At least you should use the proper form.";
"expediential";"expedient";"At least you should use the proper form.";
"explicitly alludes to";"";"No. Just no. Don't say this";
"exposed opening";"opening";"At least you should use the proper form.";
"expressable";"expressible";"This is the correct spelling";
"expropriatable";"expropriable";"This is the correct spelling";
"extendible";"extendable";"This is the correct spelling";
"extensible";"extendable";"At least you should use the proper form.";
"extermination engineer";"exterminator";"At least you should use the proper form.";
"extra bonus";"bonus";"Use this form, it's better. Trust me.";
"extractible";"extractable";"This is the correct spelling";
"extradite back";"extradite";"At least you should use the proper form.";
"extremely";"";"Don't use this word";
"exuberant";"eager";"Emotional Word Detected";
"eye for an eye";"";"Don't use this word";
"eyes peeled";"";"Don't use this word";
"eying";"eyeing";"At least you should use the proper form.";
"f toyota";"";"Are you kidding! Why would you type this!";
"f.i.n.e.";"";"Are you kidding! Why would you type this!";
"f.u.c.k.";"";"Are you kidding! Why would you type this!";
"fabulous";"fantastic";"Emotional Word Detected";
"facade";"façade";"It's French";
"face fucker";"";"Are you kidding! Why would you type this!";
"face the music";"";"Don't use this word";
"face up to the challenge";"face the challenge";"At least you should use the proper form.";
"face up to the consequences";"face the consequences";"At least you should use the proper form.";
"face up to the fact";"face the fact";"At least you should use the proper form.";
"face up to the problem";"face the problem";"At least you should use the proper form.";
"facefucker";"";"Are you kidding! Why would you type this!";
"facilitate easier";"facilitate";"At least you should use the proper form.";
"fact to face meeting";"face-to-face meeting";"At least you should use the proper form.";
"facts of life";"";"Don't use this word";
"fag";"";"Avoid using slang shorthand";
"faggot";"";"Avoid using slang shorthand";
"fain";"";"Don't use this word";
"fair weather friend";"";"Don't use this word";
"fairly";"";"Don't use this word";
"fairy";"";"Are you kidding! Why would you type this!";
"falcon-like";"falconine";"There is a word for that";
"fall by the wayside";"";"Don't use this word";
"fall down";"fall";"At least you should use the proper form.";
"fall season";"fall";"At least you should use the proper form.";
"fallable";"fallible";"This is the correct spelling";
"fallen";"";"Don't use this word";
"false";"";"Don't use this word";
"family burden";"with family support needs";"Use this form, it's better. Trust me.";
"fan the flames";"";"Don't use this word";
"fanny fucker";"";"Are you kidding! Why would you type this!";
"fannyfucker";"";"Are you kidding! Why would you type this!";
"far be it from me";"";"Don't use this word";
"far";"";"Weasel Word Detected";
"fart";"";"Are you kidding! Why would you type this!";
"fast and loose";"";"Don't use this word";
"fast fuck";"";"Are you kidding! Why would you type this!";
"fast";"";"Weasel Word Detected";
"faster";"quicker";"Weasel Word Detected";
"fastfuck";"";"Are you kidding! Why would you type this!";
"fat ass";"";"Are you kidding! Why would you type this!";
"fat fuck";"";"Are you kidding! Why would you type this!";
"fat fucker";"";"Are you kidding! Why would you type this!";
"fatal";"";"Don't use this word";
"fatass";"";"Are you kidding! Why would you type this!";
"fatfuck";"";"Are you kidding! Why would you type this!";
"fatfucker";"";"Are you kidding! Why would you type this!";
"father of";"founder of";"Use this form, it's better. Trust me.";
"father tongue";"native tongue","native language";"Using gender neutral language means users will help to break up gender stereotypes";
"fatherland";"native land","homeland";"Using gender neutral language means users will help to break up gender stereotypes";
"fatso";"";"Are you kidding! Why would you type this!";
"favorite";"";"Don't use this word";
"fear";"apprehension";"Emotional Word Detected";
"feasable";"feasible";"This is the correct spelling";
"feast or famine";"";"Don't use this word";
"feather your nest";"";"Don't use this word";
"feathered friends";"";"Don't use this word";
"fed";"";"Don't use this word";
"feeble minded";"foolish","ludicrous","silly";"Sometimes it's cleft lip or palate, not both. Specify when possible.";
"feebleminded";"foolish","ludicrous","silly";"Sometimes it's cleft lip or palate, not both. Specify when possible.";
"feel inside";"feel";"At least you should use the proper form.";
"fellatio";"";"Are you kidding! Why would you type this!";
"fellow classmates";"classmates";"At least you should use the proper form.";
"fellow collaborator";"collaborator";"At least you should use the proper form.";
"fellow collaborators";"collaborators";"At least you should use the proper form.";
"fellow colleague";"colleague";"At least you should use the proper form.";
"fellow colleagues";"colleagues";"At least you should use the proper form.";
"fellow";"person","friend","pal","folk","individual";"Using gender neutral language means users will help to break up gender stereotypes";
"fellowsh";"camaraderie","community","organization";"Using gender neutral language means users will help to break up gender stereotypes";
"felt";"experienced";"Emotional Word Detected";
"female airman";"air pilot";"This is the correct spelling";
"female booksalesman";"bookseller";"This is the correct spelling";
"female";"person";"Unconcious Bias Detected";
"females";"humans";"Using gender neutral language means users will help to break up gender stereotypes";
"feminin";"humanly","mature";"Using gender neutral language means users will help to break up gender stereotypes";
"femininity";"humanity";"Using gender neutral language means users will help to break up gender stereotypes";
"femme";"";"Are you kidding! Why would you type this!";
"festive";"celebratory";"Emotional Word Detected";
"few and far between";"";"Don't use this word";
"few in number";"limited";"At least you should use the proper form.";
"few";"limited";"Weasel Word Detected";
"fewer";"diminished";"Weasel Word Detected";
"fiance";"fiancé";"It's French";
"fiancee";"fiancée";"It's French";
"fiefdom";"fief";"At least you should use the proper form.";
"fifteen minutes of fame";"";"Don't use this word";
"filled to capacity";"filled";"Use this form, it's better. Trust me.";
"fills the bill";"";"Don't use this word";
"filmjolk";"filmjölk";"It's Swedish";
"filthy vermin";"";"Don't use this word";
"final conclusion";"conclusion";"At least you should use the proper form.";
"final end";"end";"At least you should use the proper form.";
"final outcome";"outcome";"At least you should use the proper form.";
"final ultimatum";"ultimatum";"At least you should use the proper form.";
"final";"";"Don't use this word";
"finalise";"finalize";"Use the correct spelling";
"financable";"financeable";"This is the correct spelling";
"fine kettle of fish";"";"Don't use this word";
"finger food";"";"Are you kidding! Why would you type this!";
"finger fuck";"";"Are you kidding! Why would you type this!";
"finger fucker";"";"Are you kidding! Why would you type this!";
"fingerfood";"";"Are you kidding! Why would you type this!";
"fingerfuck";"";"Are you kidding! Why would you type this!";
"fingerfucker";"";"Are you kidding! Why would you type this!";
"fireman";"firefighter","fire fighter","fire officer";"Using gender neutral language means users will help to break up gender stereotypes";
"firemen";"fire fighters";"Using gender neutral language means users will help to break up gender stereotypes";
"fireperson";"firefighter";"This is the correct spelling";
"firewoman";"firefighter","fire fighter","fire officer";"Using gender neutral language means users will help to break up gender stereotypes";
"firewomen";"fire fighters";"Using gender neutral language means users will help to break up gender stereotypes";
"first and foremost";"";"Don't use this word";
"first and foremost";"foremost";"This is the correct format";
"first conceived";"conceived";"At least you should use the proper form.";
"first of all";"first";"At least you should use the proper form.";
"first quarter gain";"first-quarter gain";"At least you should use the proper form.";
"first quarter loss";"first-quarter loss";"At least you should use the proper form.";
"first time ever";"first time";"At least you should use the proper form.";
"firstly";"first";"Redundant word";
"fish out of water";"";"Don't use this word";
"fish-like";"piscine";"There is a word for that";
"fisherman";"fisher","crew member","fisherfolk","angler";"Using gender neutral language means users will help to break up gender stereotypes";
"fishermen";"fishers";"Using gender neutral language means users will help to break up gender stereotypes";
"fisherwoman";"fisher","crew member","fisherfolk","angler";"Using gender neutral language means users will help to break up gender stereotypes";
"fisherwomen";"fishers";"Using gender neutral language means users will help to break up gender stereotypes";
"fishing for a compliment";"";"Don't use this word";
"fist fuck";"";"Are you kidding! Why would you type this!";
"fist fucker";"";"Are you kidding! Why would you type this!";
"fistfuck";"";"Are you kidding! Why would you type this!";
"fistfucker";"";"Are you kidding! Why would you type this!";
"fisting";"";"Are you kidding! Why would you type this!";
"fit as a fiddle";"";"Don't use this word";
"fit the bill";"";"Don't use this word";
"fit to be tied";"";"Don't use this word";
"fit";"";"Don't use this word";
"fixed rate mortgage";"fixed-rate mortgage";"At least you should use the proper form.";
"flagrance";"flagrancy";"At least you should use the proper form.";
"flambe";"flambé";"It's French";
"flamingos";"stand";"A group of flamingos  is called a  stand";
"flash in the pan";"";"Don't use this word";
"flasher";"";"Are you kidding! Why would you type this!";
"flat as a pancake";"";"Don't use this word";
"flatulence";"";"Are you kidding! Why would you type this!";
"flatulency";"flatulence";"At least you should use the proper form.";
"fled";"";"Don't use this word";
"flexable";"flexible";"This is the correct spelling";
"flip your lid";"";"Don't use this word";
"flog a dead horse";"";"Don't use this word";
"floggin the dolphin";"";"Are you kidding! Why would you type this!";
"flourescent";"fluorescent";"This is the correct spelling";
"flouridation";"fluoridation";"This is the correct spelling";
"flouride";"fluoride";"This is the correct spelling";
"flown";"";"Don't use this word";
"flung";"";"Don't use this word";
"fly by night";"";"Don't use this word";
"fly the coop";"";"Don't use this word";
"fly through the air";"fly";"At least you should use the proper form.";
"focus in";"focus";"Use this form, it's better. Trust me.";
"focussed";"focused";"Use the correct spelling";
"follow after";"follow";"At least you should use the proper form.";
"follow your heart";"";"Don't use this word";
"fondle";"";"Are you kidding! Why would you type this!";
"foot fuck";"";"Are you kidding! Why would you type this!";
"foot fucker";"";"Are you kidding! Why would you type this!";
"foot licker";"";"Are you kidding! Why would you type this!";
"footaction";"";"Are you kidding! Why would you type this!";
"footfuck";"";"Are you kidding! Why would you type this!";
"footfucker";"";"Are you kidding! Why would you type this!";
"footlicker";"";"Are you kidding! Why would you type this!";
"footstar";"";"Are you kidding! Why would you type this!";
"for all intensive purposes";"for all intents and purposes";"At least you should use the proper form.";
"for ever";"";"Don't use this word";
"for free";"free";"At least you should use the proper form.";
"for profit firm";"for-profit firm";"At least you should use the proper form.";
"for the birds";"";"Don't use this word";
"for the duration of";"during / throughout";"At least you should use the proper form.";
"for the most part";"primarily";"Weasel Word Detected";
"for the purpose of";"";"Filler Word Detected";
"for the purposes of";"";"Filler Word Detected";
