phrase;replacements;message;url
policemen;officers,"police officers";"Using gender neutral language means users will help to break up gender stereotypes";
possible;achievable;"Indirect Word Detected";
possibly;conceivably;"Indirect Word Detected";
postman;"post officer";"Unconcious Bias Detected";
potentially;"";"Don't use this word";
"pow wow";dissatisfied,frustrated;"Avoid casually using this term, which refers to traditional indigenous celebration ceremonies that were banned by genocidal laws in the United States and Canada — Native people died fighting for this right.";
powerless;vunerable;"Emotional Word Detected";
powwow;huddle,dissatisfied,frustrated;"Avoid casually using this term, which refers to traditional indigenous celebration ceremonies that were banned by genocidal laws in the United States and Canada — Native people died fighting for this right.";
powwows;huddles;"Unconcious Bias Detected";
preferable;"";"Don't use this word";
"preferred pronouns";pronouns;"Unconcious Bias Detected";
presumably;allegedly;"Emotional Word Detected";
primitive;"primitive data type","indigenous","hunter-gatherer";"Avoid using terms that make some groups sound inferior";
principal;"";"Don't use this word";
privileged;advantaged;"Emotional Word Detected";
probably;conceivably;"Weasel Word Detected";
proven;verified;"Weasel Word Detected";
provoke;confrontational;"Emotional Word Detected";
psycho;"mental health issues";"Unconcious Bias Detected";
"pull the trigger";"go for it","take a chance","make a move","take action";"This term has a clinical history and is used to imply LGBTQ+ people are diseased or psychologically/emotionally disordered";
put;"";"Don't use this word";
queenmaker;"power behind the throne";"Using gender neutral language means users will help to break up gender stereotypes";
queensize;jumbo,gigantic;"Using gender neutral language means users will help to break up gender stereotypes";
quit;"";"Don't use this word";
quite;"";"Don't use this word";
"rat race";"";"Don't use this word";
rather;"";"Filler Word Detected";
"reach out";"get in touch";"Don't use this word";
read;"";"Don't use this word";
real;"";"Filler Word Detected";
realized;"";"Filler Word Detected";
really;"";"Don't use this word";
rebellious;defiant;"Emotional Word Detected";
recognized;"";"Filler Word Detected";
"red line";validate;"Unconcious Bias Detected";
"red lines";verifications;"Unconcious Bias Detected";
"red lining";reviewing;"Unconcious Bias Detected";
red-line;check;"Unconcious Bias Detected";
red-lines;markups;"Unconcious Bias Detected";
red-lining;speccing;"Unconcious Bias Detected";
redline;correct;"Unconcious Bias Detected";
redlines;corrections;"Unconcious Bias Detected";
redlining;noting;"Unconcious Bias Detected";
rehab;treatment;"Only use terms describing mental illness when referring to a professionally diagnosed medical condition.";
relative;comparative;"Weasel Word Detected";
relatively;proportionally;"Weasel Word Detected";
reliable;dependable;"Emotional Word Detected";
relief;alleviation;"Emotional Word Detected";
relieved;reassured;"Emotional Word Detected";
remarkable;outstanding;"Emotional Word Detected";
remarkably;"";"Don't use this word";
repairman;repairer,technician;"Using gender neutral language means users will help to break up gender stereotypes";
repairmen;technicians;"Using gender neutral language means users will help to break up gender stereotypes";
reprimanding;admonishing;"Emotional Word Detected";
repulsed;repelled;"Emotional Word Detected";
repulsive;repellent;"Emotional Word Detected";
resentful;aggrieved;"Emotional Word Detected";
responsible;accountable;"Emotional Word Detected";
responsive;interactive;"Emotional Word Detected";
retaliation;vengeance;"Emotional Word Detected";
retarded;"intellectual disability";"Unconcious Bias Detected";
revenge;vengeance;"Emotional Word Detected";
revolutionary;groundbreaking;"Emotional Word Detected";
rid;"";"Don't use this word";
ridden;"";"Don't use this word";
risen;"";"Don't use this word";
roughly;approximately;"Weasel Word Detected";
rung;"";"Don't use this word";
sad;troubled;"Don't use this word";
safe;secure;"Emotional Word Detected";
safety;security;"Emotional Word Detected";
said;stated;"Don't use this word";
salaryman;"business executive","entrepreneur","business person","professional";"Using gender neutral language means users will help to break up gender stereotypes";
salarymen;"business executive","entrepreneur","business person","professional";"Using gender neutral language means users will help to break up gender stereotypes";
salesman;"sales person";"Unconcious Bias Detected";
saleswomen;"sales clerks","sales reps","sales agents","sellers";"Using gender neutral language means users will help to break up gender stereotypes";
sandman;fairy;"Using gender neutral language means users will help to break up gender stereotypes";
sandmen;fairies;"Using gender neutral language means users will help to break up gender stereotypes";
sandwomen;fairies;"Using gender neutral language means users will help to break up gender stereotypes";
sane;correct,adequate,sufficient,consistent,valid,coherent,sensible,reasonable;"When describing a mathematical or programmatic value, using the phrase “sanity check” needlessly invokes the topic of mental health.  Consider using simply “check”, or a domain-specific or neutral term, instead.";
"sanity check";check,assertion,validation,"smoke test";"Only use terms describing mental illness when referring to a professionally diagnosed medical condition.";
sarcastic;ironic;"Emotional Word Detected";
sat;"";"Don't use this word";
satisfied;content;"Emotional Word Detected";
savage;indigenous,hunter-gatherer;"Avoid using terms that make some groups sound inferior";
save;preserve;"Emotional Word Detected";
saw;"";"Filler Word Detected";
scandal;debacle;"Emotional Word Detected";
scared;frightened;"Emotional Word Detected";
schizophrenic;"person with schizophrenia";"Assumes a person with schizophrenia experiences a reduced quality of life.";
scornful;contemptuous;"Emotional Word Detected";
seem;appear;"Indirect Word Detected";
seemed;"";"Filler Word Detected";
seems;appears;"Indirect Word Detected";
seen;"";"Don't use this word";
self-sufficient;independent;"Emotional Word Detected";
sensational;outstanding;"Emotional Word Detected";
sent;"";"Don't use this word";
serviceman;soldier,"service representative";"Using gender neutral language means users will help to break up gender stereotypes";
servicemen;soldiers,"service representatives";"Using gender neutral language means users will help to break up gender stereotypes";
set;"";"Don't use this word";
several;numerous;"Weasel Word Detected";
severe;serious;"Emotional Word Detected";
sewn;"";"Don't use this word";
shaken;"";"Don't use this word";
shameful;disgraceful;"Emotional Word Detected";
shaven;"";"Don't use this word";
she;they,it;"Using gender neutral language means users will help to break up gender stereotypes";
she'll;they,it;"Using gender neutral language means users will help to break up gender stereotypes";
she's;they,it;"Using gender neutral language means users will help to break up gender stereotypes";
shed;"";"Don't use this word";
sherpa;mentor;"Unconcious Bias Detected";
shock;surprise;"Emotional Word Detected";
shot;"";"Don't use this word";
should;must;"Indirect Word Detected";
showman;promoter;"Using gender neutral language means users will help to break up gender stereotypes";
shown;"";"Don't use this word";
shrunk;"";"Don't use this word";
shut;"";"Don't use this word";
"sign language";"American Sign Language (ASL)";"Unconcious Bias Detected";
significant;noteworthy;"Weasel Word Detected";
significantly;markedly;"Weasel Word Detected";
simple;"";"It’s probably not that simple. Even if it is, you probably don’t need to specifically say it";
simply;"";"It’s probably not that simple. Even if it is, you probably don’t need to specifically say it";
since;.;"Multiple Idea Word Detected";
sincere;legitimate;"Emotional Word Detected";
singular;"";"Don't use this word";
slave;secondary,worker,replica,node;"Avoid using the term `slave`, these suggestions are for the computer term";
slaves;secondaries,workers,replicas,nodes;"Don't use this word";
slept;"";"Don't use this word";
slid;"";"Don't use this word";
slit;"";"Don't use this word";
slow;gradual;"Weasel Word Detected";
slow-learner;"has a learning disability";"Unconcious Bias Detected";
slower;"more gradually";"Weasel Word Detected";
slung;"";"Don't use this word";
small;minuscule;"Weasel Word Detected";
smaller;tinier;"Weasel Word Detected";
smelled;"";"Filler Word Detected";
so;.;"Multiple Idea Word Detected";
sociopath;"person with a personality disorder","person with psychopathic personality";"Only use terms describing mental illness when referring to a professionally diagnosed medical condition.";
sociopaths;"people with psychopathic personalities","people with a personality disorder";"Dumb here is used in 2 different contexts , the inability to talk or as a curse word.";
solid;robust;"Emotional Word Detected";
some;numerous;"Weasel Word Detected";
somehow;"in some way";"Weasel Word Detected";
son;child;"Using gender neutral language means users will help to break up gender stereotypes";
sons;children;"Using gender neutral language means users will help to break up gender stereotypes";
soon;"in the near future";"Weasel Word Detected";
sorrow;grief;"Emotional Word Detected";
"sort of";somewhat;"Weasel Word Detected";
sought;"";"Don't use this word";
"source of truth";source-of-truth;"Hyphenate words";
sown;"";"Don't use this word";
spade;"a Black person";"Gypsy is insensitive, use Roma or Romani. They’re not Egyptian as the name suggests.";
spake;"";"Don't use this word";
spastic;"person with cerebral palsy","twitch","flinch";"Don't use this word";
spaz;"person with cerebral palsy","twitch","flinch","hectic";"Don't use this word";
sped;"";"Don't use this word";
spent;"";"Don't use this word";
spilt;"";"Don't use this word";
spit;"";"Don't use this word";
spiteful;retaliatory;"Emotional Word Detected";
split;"";"Don't use this word";
spoken;"";"Don't use this word";
spokesman;speaker,spokesperson,representative;"Using gender neutral language means users will help to break up gender stereotypes";
spokesmen;speakers,spokespersons;"Using gender neutral language means users will help to break up gender stereotypes";
spread;"";"Don't use this word";
sprung;"";"Don't use this word";
spun;"";"Don't use this word";
stability;steadiness;"Emotional Word Detected";
stable;secure;"Emotional Word Detected";
stammering;stuttering,"disfluency of speech";"Don't use this word";
started;"";"Filler Word Detected";
startling;unexpected;"Emotional Word Detected";
statesman;senator;"Using gender neutral language means users will help to break up gender stereotypes";
stationary;"";"Don't use this word";
steady;constant;"Emotional Word Detected";
steward;"flight attendant";"Using gender neutral language means users will help to break up gender stereotypes";
stewardess;"flight attendant";"Using gender neutral language means users will help to break up gender stereotypes";
stewardesses;"flight attendants";"Using gender neutral language means users will help to break up gender stereotypes";
stewards;"flight attendants";"Using gender neutral language means users will help to break up gender stereotypes";
still;"";"Filler Word Detected";
stolen;"";"Don't use this word";
stood;"";"Don't use this word";
"straight forward";"";"It’s probably not that straight forward. Even if it is, you probably don’t need to specifically say it.";
"straight forwardly";"";"It’s probably not that straight forward. Even if it is, you probably don’t need to specifically say it.";
straightforward;"";"It’s probably not that straight forward. Even if it is, you probably don’t need to specifically say it.";
straightforwardly;"";"It’s probably not that straight forward. Even if it is, you probably don’t need to specifically say it.";
stressed;strained;"Emotional Word Detected";
stridden;"";"Don't use this word";
striven;"";"Don't use this word";
struck;"";"Don't use this word";
strung;"";"Don't use this word";
stuck;"";"Don't use this word";
stuff;items;"Be more specific";
stung;"";"Don't use this word";
stunk;"";"Don't use this word";
sung;"";"Don't use this word";
sunk;"";"Don't use this word";
superb;exceptional;"Emotional Word Detected";
superior;higher-quality;"Emotional Word Detected";
supported;reinforced;"Emotional Word Detected";
supposed;"";"Filler Word Detected";
sure;assured;"Emotional Word Detected";
surprised;astonished;"Emotional Word Detected";
surprisingly;"";"Don't use this word";
suspicious;distrustful;"Emotional Word Detected";
swept;"";"Don't use this word";
swollen;"";"Don't use this word";
sworn;"";"Don't use this word";
swum;"";"Don't use this word";
swung;"";"Don't use this word";
synergize;collaborate;"Don't use this word";
synergy;Collaboration;"Don't use this word";
"take it offline";"address separately";"Don't use this word";
"take one for the team";"";"Don't use this word";
"take this offline";"";"Don't use this word";
taken;"";"Don't use this word";
"takes one to know one";"";"Don't use this word";
"takes the cake";straightforward;"Unconcious Bias Detected";
"taking off momentarily";"";"Don't use this word";
taught;"";"Don't use this word";
tenacious;persistent;"Emotional Word Detected";
tense;strained;"Emotional Word Detected";
terrible;dreadful;"Emotional Word Detected";
terrific;exceptional;"Emotional Word Detected";
terrified;horrified;"Emotional Word Detected";
thankful;grateful;"Emotional Word Detected";
"there is";exists;"Indirect Word Detected";
thing;"";"Be More specific";
things;items;"Be more specific";
"think outside of the box";"";"Don't use this word";
"think outside the box";"explore new ideas";"Don't use this word";
think;consider;"Indirect Word Detected";
"thinking outside the box";"";"Don't use this word";
thinks;considers;"Indirect Word Detected";
"thought leaders";"";"Don't use this word";
thought;"";"Filler Word Detected";
threatened;endangered;"Emotional Word Detected";
thrilled;content;"Emotional Word Detected";
thrived;"";"Don't use this word";
thrown;"";"Don't use this word";
thrust;"";"Don't use this word";
tickedoff;irritated;"Emotional Word Detected";
tiny;minuscule;"Weasel Word Detected";
todo;"";"Don't use this word";
told;"";"Don't use this word";
"too good to be true";"";"Don't use this word";
torn;"";"Don't use this word";
"touch base";connect;"Don't use this word";
touched;"";"Filler Word Detected";
tragic;sorrowful;"Emotional Word Detected";
transparency;openness;"Emotional Word Detected";
trapped;confined;"Emotional Word Detected";
tremendous;immense;"Emotional Word Detected";
"tribal knowledge";"institutional knowledge";"Unconcious Bias Detected";
tribe;society,community;"Avoid using terms that make some groups sound inferior. Replace “sophisticated” with a neutral term such as “complex”";
tries;attempts;"Indirect Word Detected";
trigger;initiate;"Unconcious Bias Detected";
triggered;initiated;"Unconcious Bias Detected";
triggering;invoking;"Unconcious Bias Detected";
trodden;"";"Don't use this word";
true;factual,legitimate;"Emotional Word Detected";
truly;genuinely;"Emotional Word Detected";
trust;confidence;"Emotional Word Detected";
trustworthy;dependable;"Emotional Word Detected";
truth;reality;"Emotional Word Detected";
truthful;honest;"Emotional Word Detected";
try;attempt;"Indirect Word Detected";
unanimous;"";"Don't use this word";
unassuming;modest;"Emotional Word Detected";
unavoidable;"";"Don't use this word";
unbroken;"";"Don't use this word";
unburdened;reassured;"Emotional Word Detected";
uncaring;indifferent;"Emotional Word Detected";
uncertain;hesitant;"Emotional Word Detected";
uncle;relative;"Using gender neutral language means users will help to break up gender stereotypes";
uncomfortable;uneasy;"Emotional Word Detected";
understood;"";"Filler Word Detected";
unfortunately;regrettably;"Emotional Word Detected";
uniform;"";"Don't use this word";
uninterested;indifferent;"Emotional Word Detected";
unique;distinctive;"Emotional Word Detected";
universal;"";"Don't use this word";
unjustified;unwarranted;"Emotional Word Detected";
unmanly;inhumane;"Using gender neutral language means users will help to break up gender stereotypes";
unmanned;robotic,automated;"Don't use this word";
unmenly;inhumane;"Using gender neutral language means users will help to break up gender stereotypes";
unreliable;inconsistent;"Emotional Word Detected";
unresponsive;unreactive;"Emotional Word Detected";
unstable;precarious;"Emotional Word Detected";
unsure;hesitant;"Emotional Word Detected";
"until such time as";"";"Filler Word Detected";
unwomanly;inhumane;"Using gender neutral language means users will help to break up gender stereotypes";
unwomenly;inhumane;"Using gender neutral language means users will help to break up gender stereotypes";
upheld;"";"Don't use this word";
"uphill battle";"";"Don't use this word";
uplifted;elevated;"Emotional Word Detected";
uppity;arrogant;"Unconcious Bias Detected";
upset;disturbed;"Emotional Word Detected";
us;"The Team";"First Person Plural Word Detected";
usually;typically;"Weasel Word Detected";
utilization;use;"Redundant word";
utilize;use;"Do you know anyone who *needs* to utilize the word utilize?";
value-added;beneficial;"Don't use this word";
varied;assorted;"Weasel Word Detected";
various;diverse;"Weasel Word Detected";
vast;immense;"Weasel Word Detected";
venomous;toxic;"Emotional Word Detected";
verily;"";"Don't use this word";
very;exceedingly;"Weasel Word Detected";
"vested interest";"";"Don't use this word";
"viable alternative";"";"Don't use this word";
vindictive;retaliatory;"Emotional Word Detected";
violate;infringe;"Emotional Word Detected";
violation;infringement;"Emotional Word Detected";
violent;forceful;"Emotional Word Detected";
viz.;namely;"Latin Word Detected";
void;"";"Don't use this word";
vs;versus;"Latin Word Detected";
vulnerable;susceptible;"Emotional Word Detected";
waiter;"wait staff","server";"Using gender neutral language means users will help to break up gender stereotypes";
waiters;servers;"Using gender neutral language means users will help to break up gender stereotypes";
waitress;"wait staff";"Unconcious Bias Detected";
waitresses;servers;"Using gender neutral language means users will help to break up gender stereotypes";
"want to";"aspire to";"Indirect Word Detected";
"wanted to";"aspired to";"Indirect Word Detected";
was;"acted as";"Indirect Word Detected";
wasn’t;"did not exist as,";"Indirect Word Detected";
watched;"";"Filler Word Detected";
we;"The team";"First Person Plural Word Detected";
well;proficiently;"Weasel Word Detected";
"were to";"iin the event that";"Passive Word Detected";
were;"functioned as";"Passive Word Detected";
weren't;"did not exist as";"Passive Word Detected";
"white day";"open day";"Unconcious Bias Detected";
"white days";"open day";"Unconcious Bias Detected";
"white list";allow-list,passlist,alrightlist,safelist,"allow list";"Replace racially-charged language with more accurate and inclusive words";
"white lists";allow-list;"Unconcious Bias Detected";
"white paper";paper;"Unconcious Bias Detected";
white-day;"open day";"Unconcious Bias Detected";
white-days;"open day";"Unconcious Bias Detected";
whiteday;"open day";"Unconcious Bias Detected";
whitedays;"open day";"Unconcious Bias Detected";
whitehat;"ethical hacker","security researcher";"Don't use this word";
whitelist;allow-list,passlist,alrightlist,safelist,"allow list";"Replace racially-charged language with more accurate and inclusive words";
whitelisted;passlisted,alrightlisted,safelisted,allow-listed;"Replace racially-charged language with more accurate and inclusive words";
whitelisting;passlisting,alrightlisting,safelisting,allow-listing;"Avoid using terms that imply a group has not changed over time and that they are inferior";
whitelists;allow-list;"Unconcious Bias Detected";
whole;"";"Don't use this word";
wicked;malevolent;"Emotional Word Detected";
"will be";will;"Passive Word Detected";
win-win;"";"Don't use this word";
wished;desired;"Emotional Word Detected";
"with the exception of";"";"Filler Word Detected";
"with the possible exception of";"";"Filler Word Detected";
withheld;"";"Don't use this word";
withstood;"";"Don't use this word";
wives;partners,"significant others",spouses;"Using gender neutral language means users will help to break up gender stereotypes";
woken;"";"Don't use this word";
woman;person,friend,pal,folk,individual;"Using gender neutral language means users will help to break up gender stereotypes";
womanhood;adulthood,personhood,maturity;"Using gender neutral language means users will help to break up gender stereotypes";
"women and men";y'all;"Unconcious Bias Detected";
women;people,persons,folks;"Using gender neutral language means users will help to break up gender stereotypes";
won;"";"Don't use this word";
wondered;"";"Filler Word Detected";
wonderful;exceptional;"Emotional Word Detected";
workmen;workers;"Using gender neutral language means users will help to break up gender stereotypes";
workwomen;workers;"Using gender neutral language means users will help to break up gender stereotypes";
worn;"";"Don't use this word";
worried;apprehensive;"Emotional Word Detected";
worry;apprehension;"Emotional Word Detected";
worse;deteriorated;"Weasel Word Detected";
worst;"least favorable";"Weasel Word Detected";
worthwhile;valuable;"Emotional Word Detected";
"would like";will;"Passive Word Detected";
would;will;"Indirect Word Detected";
wound;"";"Don't use this word";
woven;"";"Don't use this word";
written;"";"Don't use this word";
wrung;"";"Don't use this word";
"you're the boss ";"";"Don't use this word";
